Designator,Mid X,Mid Y,Rotation,Layer
C1,30.442909,35.265001,180.0,top
C10,35.514189,35.889392,270.0,top
C11,31.427486,30.28,270.0,top
C12,54.060776,27.125,90.0,top
C13,31.354778,26.525,270.0,top
C14,50.943974,27.11524,90.0,top
C15,33.0,26.54396,270.0,top
C16,29.736029,26.505037,270.0,top
C17,52.5,27.11524,90.0,top
C18,13.542574,43.248155,0.0,top
C19,13.510549,36.217698,0.0,top
C2,30.525,42.995,180.0,top
C20,13.234581,29.133182,0.0,top
C21,13.55576,22.21369,0.0,top
C22,13.345715,19.574094,0.0,top
C23,17.996478,12.55995,180.0,top
C24,27.85,19.5,0.0,top
C25,27.680224,12.647709,180.0,top
C3,26.525,42.995,0.0,top
C4,49.0,45.9,90.0,top
C5,33.256165,22.374562,270.0,top
C6,31.59236,22.38948,270.0,top
C7,30.0,22.4,270.0,top
C8,33.0,30.341647,270.0,top
C9,37.119898,35.889923,270.0,top
D1,36.219285,39.090177,0.0,top
D2,46.500044,38.97732,180.0,top
D3,46.5,36.5,180.0,top
R1,29.802485,30.256316,90.0,top
R10,46.275087,34.50646,0.0,top
R11,46.346308,40.991406,0.0,top
R12,36.5,45.4,90.0,top
R13,56.691314,32.559291,90.0,top
R14,58.371007,32.59069,90.0,top
R15,60.012048,32.585742,90.0,top
R16,61.685,32.6075,90.0,top
R17,63.308378,32.574224,90.0,top
R18,64.964778,32.580239,90.0,top
R19,66.640204,32.579557,90.0,top
R2,18.042574,43.248155,180.0,top
R20,68.352746,32.584634,90.0,top
R21,69.860267,25.798247,270.0,top
R22,68.238188,25.7375,270.0,top
R23,66.616109,25.737339,270.0,top
R24,64.99403,25.7375,270.0,top
R25,63.3314,25.757695,270.0,top
R26,61.669191,25.776361,270.0,top
R27,59.872375,25.732211,270.0,top
R28,22.434746,22.998407,90.0,top
R29,24.0,22.9875,90.0,top
R3,18.098049,36.217698,180.0,top
R30,25.56307,23.010674,90.0,top
R31,44.5,4.4125,270.0,top
R32,44.5,12.4125,270.0,top
R33,22.54697,42.531134,0.0,top
R34,27.072978,45.924383,270.0,top
R35,25.5,45.9125,270.0,top
R36,22.533563,45.695059,0.0,top
R37,22.545855,44.122,0.0,top
R4,18.322081,29.133182,180.0,top
R5,18.26683,22.281981,180.0,top
R6,18.110434,19.552593,180.0,top
R7,13.496478,12.55995,0.0,top
R8,22.85,19.5,0.0,top
R9,22.956365,12.586656,0.0,top
U1,40.8,27.2,270.0,top
U15,16.010549,39.217698,180.0,top
U16,15.734581,32.133182,180.0,top
U17,15.76683,25.281981,180.0,top
U18,15.748574,16.467063,180.0,top
U19,15.846478,9.55995,0.0,top
U2,42.5625,45.195,270.0,top
U20,25.35,16.5,0.0,top
U21,25.389764,9.485979,0.0,top
U4,63.0,40.5,90.0,top
U5,64.80403,17.65,270.0,top
U6,15.967574,46.248155,180.0,top
U7,28.5,38.9,270.0,top
input1,5.817574,45.723155,0.0,top
input2,5.783566,38.773378,0.0,top
input3,5.825964,31.777711,0.0,top
input4,5.825964,24.803242,0.0,top
input5,5.870776,17.810245,0.0,top
input6,5.910075,10.828317,0.0,top
input7,13.0,3.475,0.0,top
input8,24.107989,3.478315,0.0,top
